;Ano;Nome do Evento;Edição do Evento;Cidade;País do Evento;Total de Amostras;Países Participantes;Data do Evento;Total de Prêmios;pais;continente
110;2016;Challenge International du Vin;40;Bourg-sur-Gironde;Franca;5000.0;38.0;1º e 2 de abril;17;Franca;Europa
111;2016;Sélections Mondiales des Vins;23;Québec;Canada;2000.0;0.0;26 a 31 de maio;11;Canada;America do Norte
112;2016;Catad'Or World Wine Awards;2;Santiago;Chile;87.0;0.0;4 a 11 de julho;4;Chile;America do Sul
113;2016;VinAgora International Wine Competition;17;Budapeste;Hungria;503.0;12.0;10 a 13 de junho;1;Hungria;Europa
114;2016;Concurso Internacional Ensenada Tierra del Vino;24;Ensenada;Mexico;350.0;7.0;10 a 12 de junho;1;Mexico;America do Norte
115;2016;Brazil Wine Challenge;8;Bento Gonçalves;Brasil;623.0;17.0;7 a 10 de junho;114;Brasil;America do Sul
116;2016;Decanter World Wine Awards;13;Londres;Inglaterra;16023.0;75.0;25 a 29 de abril;25;Inglaterra;Europa
117;2016;Mondial du Merlot et Assemblages;9;Sierre;Suica;413.0;0.0;22 a 24 de abril;1;Suica;Europa
118;2016;Citadelles du Vin;16;Bordeaux;Franca;1200.0;30.0;14 a 16 de maio;7;Franca;Europa
119;2016;International Wine Challenge;32;Londres;Inglaterra;;0.0;11 a 22 de abril;23;Inglaterra;Europa
120;2016;Concours Mondial de Bruxelles;23;Plovdiv;Bulgaria;8750.0;52.0;29 de abril a 1º de maio;5;Bulgaria;Europa
121;2016;Prêmio Internacional 5 Star Wine;1;Verona;Italia;2700.0;27.0;1º a 3 de abril;1;Italia;Europa
122;2016;Bacchus;14;Madri;Espanha;;21.0;18 a 21 de março;7;Espanha;Europa
123;2016;Chardonnay du Monde;23;Saint Lager;Franca;782.0;39.0;8 a 11 de março;4;Franca;Europa
124;2016;Vinalies Internationales;22;Paris;Franca;3441.0;38.0;26 de fevereiro a 1º de março;11;Franca;Europa
125;2017;Concurso Ibero-americano de Vinos Espumosos y Efervescents;2;Mérida;Espanha;220.0;8.0;10 e 11 de novembro;6;Espanha;Europa
126;2017;Effervescents du Monde;15;Dijon;Franca;548.0;21.0;15 a 17 de novembro;10;Franca;Europa
127;2017;Decanter World Wine Awards;14;Londres;Inglaterra;17200.0;0.0;24 a 28 de abril;26;Inglaterra;Europa
